City,Year,Avg_Rent,Population,Interest_Rate,Inflation_Rate,Unemployment_Rate,Pop_Growth_Pct,Rent_Lag1,Pop_Lag1,Unemp_Lag1,Growth_Lag1,Rent_Lag2,is_pandemic,Pop_Growth_Acceleration,Affordability_Index
Ottawa,2018,1297.0,1123368.0,1.4,2.35,4.71,2.256181149882308,1231.0,1098582.0,5.92,2.3954172033830323,1201.0,0,-0.1392360535007242,269.6465696465697
Ottawa,2019,1409.0,1148411.0,1.75,1.87,4.88,2.2292783842872588,1297.0,1123368.0,4.71,2.256181149882308,1231.0,0,-0.02690276559504934,282.93172690763055
Ottawa,2020,1513.0,1172078.0,0.56,0.64,7.2,2.0608475537068127,1409.0,1148411.0,4.88,2.2292783842872588,1297.0,1,-0.16843083058044606,207.26027397260273
Ottawa,2021,1547.0,1184369.0,0.25,3.48,6.41,1.0486503457961094,1513.0,1172078.0,7.2,2.0608475537068127,1409.0,1,-1.0121972079107033,237.63440860215056
Ottawa,2022,1627.0,1209897.0,1.93,6.8,4.41,2.1554093361106252,1547.0,1184369.0,6.41,1.0486503457961094,1513.0,0,1.1067589903145159,360.7538802660754
Ottawa,2023,1693.0,1246173.0,4.74,3.78,4.4,2.998271753711257,1627.0,1209897.0,4.41,2.1554093361106252,1547.0,0,0.8428624176006316,376.22222222222223
Ottawa,2024,1869.0,1291272.0,4.55,2.38,5.66,3.618999930186262,1693.0,1246173.0,4.4,2.998271753711257,1627.0,0,0.620728176475005,324.4791666666667
Ottawa,2025,1926.0,1325788.0,2.71,1.9,6.19,2.6730231895371492,1869.0,1291272.0,5.66,3.618999930186262,1693.0,0,-0.9459767406491126,306.2003179650238
Toronto,2017,1403.0,6202798.0,0.7,1.68,6.58,1.3143527569328572,1326.0,6122329.0,6.96,1.274933600826822,1286.0,0,0.0394191561060353,210.02994011976048
Toronto,2018,1468.0,6313488.0,1.4,2.35,6.09,1.7845172452818805,1403.0,6202798.0,6.58,1.3143527569328572,1326.0,0,0.47016448834902325,237.156704361874
Toronto,2019,1563.0,6426293.0,1.75,1.87,5.89,1.7867302511701988,1468.0,6313488.0,6.09,1.7845172452818805,1403.0,0,0.002213005888318298,260.9348914858097
Toronto,2020,1637.0,6491939.0,0.56,0.64,10.52,1.0215220501150537,1563.0,6426293.0,5.89,1.7867302511701988,1468.0,1,-0.7652082010551451,154.1431261770245
Toronto,2021,1680.0,6472951.0,0.25,3.48,9.48,-0.2924858043182432,1637.0,6491939.0,10.52,1.0215220501150537,1563.0,1,-1.314007854433297,175.3653444676409
Toronto,2022,1779.0,6591642.0,1.93,6.8,6.41,1.833645890413815,1680.0,6472951.0,9.48,-0.2924858043182432,1637.0,0,2.1261316947320585,273.2718894009217
Toronto,2023,1958.0,6840723.0,4.74,3.78,6.09,3.7787398041337905,1779.0,6591642.0,6.41,1.833645890413815,1680.0,0,1.9450939137199754,316.3166397415186
Toronto,2024,1972.0,7109866.0,4.55,2.38,7.73,3.9344233058406175,1958.0,6840723.0,6.09,3.7787398041337905,1779.0,0,0.155683501706827,251.85185185185185
Toronto,2025,2046.0,7108874.0,2.71,1.9,8.74,-0.0139524429855653,1972.0,7109866.0,7.73,3.9344233058406175,1958.0,0,-3.948375748826183,231.44796380090497
